[Summary by base sequence] groups: 90, improved: 49, worse: 41, same: 0

[Top improvements by base]
      base_seq  dJF-Mean  dJ-Mean  dF-Mean
   disc-jockey   30.8990  38.5590  23.2390
     lindy-hop   27.0000  25.9930  28.0070
    skate-park   19.6095  18.7690  20.4500
     kite-walk   15.8800  18.6600  13.1000
         koala   15.2765  12.1850  18.3680
         drone   11.7035  13.2100  10.1970
  varanus-cage   11.5915  13.3540   9.8290
         train    9.5460   8.5350  10.5570
      car-turn    8.4115   5.3560  11.4670
    dog-gooses    7.9430   5.9930   9.8930
drift-straight    7.0685   3.9270  10.2100
      cat-girl    6.6850   1.6720  11.6980
        rallye    6.4430   4.7990   8.0870
       walking    6.0675   3.1120   9.0230
boxing-fisheye    5.5925   4.6170   6.5680
    breakdance    5.4780   5.0650   5.8910
     color-run    4.3680   5.9540   2.7820
   upside-down    3.9210   1.4740   6.3680
     blackswan    3.6070   1.0260   6.1880
          boat    3.3660   9.4180  -2.6860

[Top drops by base]
       base_seq  dJF-Mean  dJ-Mean  dF-Mean
       flamingo  -25.8095 -20.4690 -31.1500
         hockey  -23.1670 -27.1260 -19.2080
      bmx-trees  -13.1025 -11.3130 -14.8920
          rhino  -12.4360  -8.8790 -15.9930
         tennis  -11.8070  -7.9880 -15.6260
  mallard-water  -10.6815   0.0000 -21.3630
   bike-packing  -10.6105 -11.5310  -9.6900
motocross-bumps   -4.4860  -3.2490  -5.7230
           judo   -4.2370  -2.3150  -6.1590
          sheep   -4.1030  -2.5390  -5.6670
          libby   -4.0810  -3.9440  -4.2180
            bus   -3.6410  -3.0160  -4.2660
      gold-fish   -3.3340  -1.9720  -4.6960
    classic-car   -3.0385  -3.2990  -2.7780
       crossing   -2.9295  -1.7900  -4.0690
           goat   -2.6565  -2.8900  -2.4230
    dance-twirl   -2.6015  -2.9220  -2.2810
    schoolgirls   -2.2235  -1.4590  -2.9880
     car-shadow   -1.8400  -2.4990  -1.1810
   tractor-sand   -1.8175  -2.6230  -1.0120
