Top formula per type (best roc_auc):

            formula    a   b  roc_auc       ap  best_f1
  (1-q)*(k*qv+a*kv)  0.0 0.0 0.856682 0.452366 0.474885
  (1-q)*k*(qv+a*kv)  0.0 0.0 0.856682 0.452366 0.474885
         (1-q)*k*qv  0.0 0.0 0.856682 0.452366 0.474885
(1-q)*(k+a*qv+b*kv)  2.0 2.0 0.856444 0.452049 0.472872
(1-q+a*qv)*(k+b*kv)  2.0 2.0 0.849033 0.443936 0.466578
     (1-q)*(k+a*kv)  2.0 0.0 0.848594 0.443192 0.465454
   (1-q)*k*(1+a*qv)  2.0 0.0 0.844586 0.442121 0.463552
       (1-q-a*qv)*k -2.0 0.0 0.844362 0.441606 0.463337
   (1-q)*k*(1+a*kv)  2.0 0.0 0.844250 0.440248 0.462795
            (1-q)*k  0.0 0.0 0.843857 0.440732 0.462268
      (1-q)*k*qv*kv  0.0 0.0 0.835383 0.399091 0.396255
  (1-q)*k*(qv*kv+a)  0.0 0.0 0.835383 0.399091 0.396255
         (1-q)*k*kv  0.0 0.0 0.831186 0.392363 0.400404
  (1-q)*(k*kv+a*qv)  0.0 0.0 0.831186 0.392363 0.400404


Overall top 20:

            formula   a    b  roc_auc       ap  best_f1
  (1-q)*(k*qv+a*kv) 0.0  0.0 0.856682 0.452366 0.474885
  (1-q)*k*(qv+a*kv) 0.0  0.0 0.856682 0.452366 0.474885
         (1-q)*k*qv 0.0  0.0 0.856682 0.452366 0.474885
(1-q)*(k+a*qv+b*kv) 2.0  2.0 0.856444 0.452049 0.472872
  (1-q)*k*(qv+a*kv) 0.5  0.0 0.856317 0.443931 0.468126
(1-q)*(k+a*qv+b*kv) 2.0  1.0 0.855714 0.452004 0.472402
(1-q)*(k+a*qv+b*kv) 2.0  0.5 0.854982 0.451612 0.471897
  (1-q)*k*(qv+a*kv) 1.0  0.0 0.854637 0.435820 0.460067
(1-q)*(k+a*qv+b*kv) 2.0  0.0 0.853930 0.451091 0.470784
(1-q)*(k+a*qv+b*kv) 1.0  2.0 0.853179 0.448007 0.469628
(1-q)*(k+a*qv+b*kv) 2.0 -0.5 0.852487 0.450262 0.469762
(1-q)*(k+a*qv+b*kv) 1.0  1.0 0.852116 0.447604 0.468343
  (1-q)*k*(qv+a*kv) 2.0  0.0 0.851406 0.425168 0.447087
(1-q)*(k+a*qv+b*kv) 1.0  0.5 0.851133 0.447082 0.467947
(1-q)*(k+a*qv+b*kv) 0.5  2.0 0.851088 0.445724 0.467384
(1-q)*(k+a*qv+b*kv) 2.0 -1.0 0.850648 0.449294 0.468623
(1-q)*(k+a*qv+b*kv) 1.0  0.0 0.849776 0.446297 0.466716
(1-q)*(k+a*qv+b*kv) 0.5  1.0 0.849773 0.445114 0.466149
(1-q+a*qv)*(k+b*kv) 2.0  2.0 0.849033 0.443936 0.466578
(1-q+a*qv)*(k+b*kv) 1.0  2.0 0.848836 0.443626 0.466061
